Dates,portfolio_returns,baseline_returns,djia_returns,SXOP Index_returns,SAX Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.03460192475940506,0.018935498741179505
2017-04-25,0.0,0.01699678,0.021820353,0.03477690288713918,0.02622247438034106
2017-04-26,-0.004673992370605469,0.016502822,0.020796917,0.03733595800524933,0.02980390766284894
2017-04-27,-0.006473259307861328,0.017064866,0.021100612,0.03624234470691162,0.028119570228006124
2017-04-28,-0.003678713592529297,0.015119071,0.019114006,0.033770778652668414,0.03311939292932886
2017-05-01,-0.020501785736083983,0.016877552,0.017797617,0.03344269466316715,0.03311939292932886
2017-05-02,-0.019681510589599608,0.01808667,0.019570544,0.04741907261592303,0.039945392007375576
2017-05-03,-0.015417736022949219,0.016792314,0.019960357,0.037882764654418186,0.03790645721782915
2017-05-04,-0.01908952816772461,0.017384192,0.019647444,0.05148731408573933,0.04145243076486649
2017-05-05,-0.01860865744018555,0.021543967,0.022346947,0.05804899387576558,0.04379277330591122
2017-05-08,-0.02261371530151367,0.02158222,0.022606822,0.046172353455818056,0.042108435871068405
2017-05-09,-0.025269488555908205,0.020534843,0.020830471,0.0527340332458443,0.05102655934186726
2017-05-10,-0.026766951171875,0.021688662,0.01924052,0.04623797025371826,0.048774866139498586
2017-05-11,-0.031739249877929684,0.019478943,0.018087624,0.03923884514435695,0.04584943796319282
2017-05-12,-0.026178237731933594,0.017971704,0.0169775,0.03770778652668418,0.0467713910854225
2017-05-15,-0.009653558013916015,0.02283406,0.02113027,0.037729658792650916,0.0481011311655615
2017-05-16,-0.0008640159301757812,0.022131478,0.021023715,0.03265529308836397,0.049980497145491395
2017-05-17,0.03301430432128906,0.0035509532,0.002879629,0.011089238845144343,0.0349101095705827
2017-05-18,0.030270553100585938,0.007250863,0.005609359,0.009908136482939697,0.024112620119853947
2017-05-19,0.03049291760253906,0.014067433,0.012511344,0.015594925634295704,0.03281798517783056
2017-05-22,0.031906430114746094,0.019300153,0.016890908,0.016207349081364883,0.033261231871210224
2017-05-23,0.03278032418823242,0.021173498,0.01898749,0.023884514435695572,0.040175880287932994
