Dates,portfolio_returns,baseline_returns,djia_returns,DJI Index_returns,BE500 Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.010518421472705592,0.022778502787993794
2017-04-25,0.0001394384765625,0.01699678,0.021820353,0.02182038334105521,0.024716257365444694
2017-04-26,0.004920437728881836,0.016502822,0.020796917,0.020796914116185988,0.02906631866176305
2017-04-27,0.009428168273925782,0.017064866,0.021100612,0.021100596853379804,0.02633764384861774
2017-04-28,0.014007280822753907,0.015119071,0.019114006,0.019114005614237272,0.025072171471507
2017-05-01,0.025056533981323244,0.016877552,0.017797617,0.017797560415344582,0.023846245106180934
2017-05-02,0.024342004806518554,0.01808667,0.019570544,0.019570503062134318,0.03128089532170668
2017-05-03,0.023304462814331055,0.016792314,0.019960357,0.019960326575743686,0.031162257286352652
2017-05-04,0.03142472055053711,0.017384192,0.019647444,0.01964739708853923,0.03950646577292684
2017-05-05,0.03621440165710449,0.021543967,0.022346947,0.022346961420612287,0.04658520188239005
2017-05-08,0.02201131803894043,0.02158222,0.022606822,0.022606843763018473,0.045359275517063986
2017-05-09,0.014988768737792969,0.020534843,0.020830471,0.020830494418856385,0.04963024478981299
2017-05-10,0.003767576416015625,0.021688662,0.01924052,0.019240540088068102,0.05089571716692373
2017-05-11,0.001607395751953125,0.019478943,0.018087624,0.018087616363048814,0.04559655158777227
2017-05-12,0.005555785400390625,0.017971704,0.0169775,0.01697751969071092,0.0486415944951952
2017-05-15,0.012896728271484375,0.02283406,0.02113027,0.021130283787624556,0.04986752086052127
2017-05-16,0.007336735778808594,0.022131478,0.021023715,0.021023702826974893,0.050342073001937826
2017-05-17,0.02982541162109375,0.0035509532,0.002879629,0.002879632621755456,0.037054613042274705
2017-05-18,0.019295824951171874,0.007250863,0.005609359,0.0056093705591267395,0.031874085498477485
2017-05-19,0.011493079513549805,0.014067433,0.012511344,0.012511339435539531,0.03796417131332314
2017-05-22,0.01047225730895996,0.019300153,0.016890908,0.01689089224324225,0.03768734923082996
2017-05-23,0.012691577697753906,0.021173498,0.01898749,0.01898747114040662,0.04120694427966946
2017-05-24,0.016619771728515625,0.023715328,0.022613665,0.022613657157763176,0.041246490291454135
2017-05-25,0.01805430374145508,0.028262619,0.026046121,0.026046148095948286,0.0407323921382529
2017-05-26,0.005012535675048828,0.028581945,0.025916185,0.025916206924745104,0.038992367619725604
2017-05-29,-0.018948661468505858,0.028581945,0.025916185,0.025916206924745104,0.037885079289753563
2017-05-30,-0.005373446228027344,0.02734289,0.023443477,0.02344343130346095,0.03555186459445568
2017-05-31,-0.004186950927734375,0.026870344,0.022430213,0.022430182170708784,0.034879582394115524
2017-06-01,0.00141595703125,0.034644894,0.029026031,0.029026034954661818,0.039150551666864306
2017-06-02,0.0017424435424804687,0.03848108,0.032048713,0.03204874886605657,0.04164195040930111
2017-06-05,-0.029458611434936523,0.03721656,0.030965872,0.030965905772697488,0.03946691976114216
2017-06-06,-0.03077194314575195,0.034334093,0.028639166,0.028639131467371685,0.03290228180487995
2017-06-07,-0.0376346462097168,0.035956193,0.030462187,0.03046220123264046,0.032941827816664625
2017-06-08,-0.015191819549560547,0.036233008,0.030892396,0.03089241844366493,0.03238818365167872
2017-06-09,-0.007197775924682617,0.035372943,0.03524525,0.03524520434344195,0.038794637560802
2017-06-12,0.004181653442382812,0.03435956,0.033478595,0.033478588420343625,0.026733103966464944
2017-06-13,0.013567343811035157,0.039026078,0.037994944,0.037994895793994225,0.0328231897813106
2017-06-14,0.0142979501953125,0.037991382,0.040238,0.04023796267817042,0.02997587693281126
2017-06-15,0.004641564880371094,0.0356667,0.039524533,0.03952450291418642,0.025072171471507
2017-06-16,0.00414235220336914,0.035960454,0.040710986,0.040711006941875925,0.03171590145133856
2017-06-19,-0.0005351981964111328,0.044607855,0.047753647,0.04775362375266225,0.04065330011468333
2017-06-20,0.001083286605834961,0.037612494,0.044743605,0.04474356328865049,0.033890932099497735
2017-06-21,-0.006447966720581054,0.037007935,0.041964162,0.04196418490385329,0.03143907936884561
