Dates,portfolio_returns,baseline_returns,djia_returns,RIY Index_returns,SPXL2 Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.010697144435620342,0.01084008532415944
2017-04-25,0.008282888671875,0.01699678,0.021820353,0.016847944937444695,0.01699670880363099
2017-04-26,0.010201211303710938,0.016502822,0.020796917,0.016563270912222962,0.01650281646364559
2017-04-27,0.004207061889648437,0.017064866,0.021100612,0.017245414331150427,0.017064831885008208
2017-04-28,0.007430585083007812,0.015119071,0.019114006,0.014727085083771825,0.015119066373169624
2017-05-01,0.014345024047851563,0.016877552,0.017797617,0.016689110643048698,0.01687749341122067
2017-05-02,0.01615702801513672,0.01808667,0.019570544,0.01764748761744724,0.01808667810566742
2017-05-03,0.016910645751953127,0.016792314,0.019960357,0.01581744031245087,0.01679233955949915
2017-05-04,0.028615715881347658,0.017384192,0.019647444,0.015961695613641438,0.0173841588289642
2017-05-05,0.027799401489257813,0.021543967,0.022346947,0.020707541559722143,0.021543924485564254
2017-05-08,0.016753821594238282,0.02158222,0.022606822,0.020281681495037403,0.021582243718839034
2017-05-09,0.020970412353515624,0.020534843,0.020830471,0.01935169519161787,0.020534851342663363
2017-05-10,0.029574616638183594,0.021688662,0.01924052,0.020696031828244275,0.02168868603349103
2017-05-11,0.028768268493652344,0.019478943,0.018087624,0.018172331372842576,0.019478943581315543
2017-05-12,0.031364224182128905,0.017971704,0.0169775,0.016489608630763986,0.017971720405843272
2017-05-15,0.03920072833251953,0.02283406,0.02113027,0.021541613434158637,0.02283400533914655
2017-05-16,0.034576753845214844,0.022131478,0.021023715,0.020745140015883477,0.022131486062443327
2017-05-17,0.009511037536621093,0.0035509532,0.002879629,0.002204497235746193,0.0035509156167906984
2017-05-18,0.015951684448242187,0.007250863,0.005609359,0.0058208548661226505,0.007250850474093961
2017-05-19,0.02940381884765625,0.014067433,0.012511344,0.012872483684955683,0.014067416304407974
2017-05-22,0.011734617736816406,0.019300153,0.016890908,0.01821606835245868,0.019300120492700155
2017-05-23,0.02515326220703125,0.021173498,0.01898749,0.019941760758721526,0.02117350523057535
2017-05-24,0.03406439709472656,0.023715328,0.022613665,0.022584395106062347,0.023715347704464963
2017-05-25,0.026768145629882813,0.028262619,0.026046121,0.026858342061546494,0.02826256338639842
2017-05-26,-0.007383891723632813,0.028581945,0.025916185,0.02710465031517487,0.028581890330354413
2017-05-29,-0.02278364270019531,0.028581945,0.025916185,0.02710465031517487,0.028581890330354413
2017-05-30,-0.05660822399902344,0.02734289,0.023443477,0.02553395562614861,0.027342901787805032
2017-05-31,-0.05498287298583984,0.026870344,0.022430213,0.025275370325610346,0.026870297910750303
2017-06-01,-0.042297845703125,0.034644894,0.029026031,0.033786433095849326,0.0346448445729321
2017-06-02,-0.05325662048339844,0.03848108,0.032048713,0.03748335884657155,0.03848102559299018
2017-06-05,-0.07019427270507812,0.03721656,0.030965872,0.03587813496311134,0.03721649089492434
2017-06-06,-0.06927317877197266,0.034334093,0.028639166,0.032901718402909765,0.03433403301414826
2017-06-07,-0.08152734838867187,0.035956193,0.030462187,0.034325855844449915,0.03595621388944468
2017-06-08,-0.08609404113769531,0.036233008,0.030892396,0.0348706498010736,0.03623296390753991
2017-06-09,-0.08875272973632813,0.035372943,0.03524525,0.03396675222233736,0.035372910005151775
2017-06-12,-0.07626570831298828,0.03435956,0.033478595,0.03312193793185485,0.034359579169664714
2017-06-13,-0.08323257183837891,0.039026078,0.037994944,0.0381685715272264,0.0390260102440083
2017-06-14,-0.08295790124511719,0.037991382,0.040238,0.03691861468871934,0.03799139094559095
2017-06-15,-0.08647413208007812,0.0356667,0.039524533,0.034419468327137416,0.03566669079359131
2017-06-16,-0.08358497003173829,0.035960454,0.040710986,0.03454530805796315,0.03596047158203085
2017-06-19,-0.09351274310302735,0.044607855,0.047753647,0.043164562304094885,0.0446078452243591
2017-06-20,-0.09351274310302735,0.037612494,0.044743605,0.03592417388902333,0.0376124563054299
2017-06-21,-0.10791032629394531,0.037007935,0.041964162,0.035103913692360246,0.03700786395820652
2017-06-22,-0.08754757391357422,0.036535285,0.041344132,0.03486451127761866,0.0365352600811516
2017-06-23,-0.08385692864990234,0.03815323,0.041221038,0.036940866836243404,0.03815318326386204
2017-06-26,-0.11258551739501953,0.03848108,0.041940875,0.037582342537281974,0.03848102559299018
2017-06-27,-0.1233495131225586,0.030097604,0.037128154,0.028990711646697403,0.030097628890998835
2017-06-28,-0.11552418597412109,0.03917077,0.044133745,0.03818852172845475,0.03917077179193508
2017-06-29,-0.11516898309326172,0.03023388,0.03597811,0.029244693054644413,0.030233875053753266
2017-06-30,-0.09244475164794921,0.03181347,0.039024744,0.03090055975660769,0.03181347900318893
2017-07-03,-0.0885450927734375,0.03419782,0.045333885,0.033465695245329954,0.034197786851393824
2017-07-04,-0.08972549951171875,0.03419782,0.045333885,0.033465695245329954,0.034197786851393824
2017-07-05,-0.08104961102294922,0.035700794,0.04528037,0.03447778429995912,0.03570075233427992
2017-07-06,-0.08170146917724609,0.025997497,0.0375846,0.024272489056163686,0.025997470930603846
2017-07-07,-0.08093309307861328,0.032567088,0.042173944,0.031099294453460557,0.03256709059092506
2017-07-10,-0.07997960870361329,0.03352507,0.04189069,0.031787576395842794,0.03352507142279304
2017-07-11,-0.08332781414794922,0.032716148,0.04191749,0.031362483646589896,0.03271610983143801
2017-07-12,-0.09697181982421875,0.040260766,0.04790697,0.038893684610338125,0.04026074109397151
2017-07-13,-0.0992257275390625,0.042210825,0.048926506,0.040795092250497926,0.04221076429839607
2017-07-14,-0.11277675714111328,0.0470816,0.053046197,0.045554749874352214,0.0470815646168715
2017-07-17,-0.11213481359863281,0.047026195,0.05265591,0.04557700202187627,0.04702621461325242
2017-07-18,-0.1136126748046875,0.047652166,0.04997969,0.04602664886494877,0.04765209542340627
2017-07-19,-0.13784303491210936,0.053280823,0.05319267,0.05199022440139812,0.05328076502220381
2017-07-20,-0.14494411822509765,0.053118978,0.05178275,0.05176923755702119,0.05311897270393273
2017-07-21,-0.14741975323486328,0.052731566,0.050239567,0.05131728876765316,0.05273152267859952
2017-07-24,-0.15085103002929687,0.05161174,0.04698372,0.050637447295021405,0.05161174952846046
2017-07-25,-0.15085103002929687,0.05468578,0.05186307,0.053948413383515935,0.05468580357561026
2017-07-26,-0.14747164208984376,0.054983903,0.05661201,0.05393076512858295,0.05498384205663577
2017-07-27,-0.12528037451171875,0.05395773,0.060775045,0.05237618406362581,0.053957738143390575
2017-07-28,-0.11821706567382813,0.05254425,0.062418036,0.05089833454185521,0.05254418420481198
2017-07-31,-0.11248328546142577,0.051777847,0.065377414,0.0501256479019678,0.051777799539317715
2017-08-01,-0.11230612872314454,0.05435377,0.06892042,0.05267236782032558,0.05435370355389594
2017-08-02,-0.09983877679443359,0.0548732,0.07146669,0.05255113198209092,0.05487314204939779
2017-08-03,-0.09992569854736329,0.05256972,0.071946524,0.05037732736361927,0.052569730360328436
2017-08-04,-0.09905726934814453,0.05455813,0.07519315,0.052571849498751294,0.05455807279802778
2017-08-07,-0.12225332537841797,0.0562952,0.076439485,0.054173236805052094,0.05629521137314835
2017-08-08,-0.12462338024902343,0.053744845,0.07482957,0.05154594876634872,0.05374485351408658
2017-08-09,-0.11587251342773437,0.053361695,0.07304638,0.05069039205982001,0.05336166118133935
2017-08-10,-0.1257391868286133,0.03811487,0.06308474,0.03530341570464496,0.03811486403058725
2017-08-11,-0.1088453758544922,0.03943906,0.06378119,0.03689406059489974,0.03943900642485816
2017-08-14,-0.10226468835449219,0.049878933,0.07037026,0.04734259483059599,0.04987886864592606
2017-08-15,-0.0949467978515625,0.049355246,0.07062719,0.04654919067404839,0.04935517245783823
2017-08-16,-0.09627410711669922,0.050845437,0.07188664,0.04831324885190442,0.050845364862966196
2017-08-17,-0.1020354698486328,0.034623586,0.0585451,0.03214591270252332,0.03462355611000181
2017-08-18,-0.10543957879638671,0.03272467,0.054835662,0.03026061868643281,0.03272462521661016
2017-08-21,-0.10518736474609375,0.03392537,0.0562587,0.03138780505584152,0.033925294525884574
2017-08-22,-0.08789444848632813,0.044203393,0.065804295,0.04161842170888823,0.04420336442868159
2017-08-23,-0.08296924914550781,0.04059714,0.061531287,0.03833891555310026,0.04059709880827181
2017-08-24,-0.07763818249511718,0.03843846,0.06013505,0.036491219993170905,0.03843844866712923
