Dates,portfolio_returns,baseline_returns,djia_returns,RAY Index_returns,MXUS Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.01088225675039877,0.010781659115483995
2017-04-25,0.008875210083007812,0.01699678,0.021820353,0.01729126263727431,0.016983458888501748
2017-04-26,0.010794210205078125,0.016502822,0.020796917,0.017492081980193402,0.016554515964719525
2017-04-27,0.004960173522949219,0.017064866,0.021100612,0.017993413125552228,0.01745261521138841
2017-04-28,0.007872248291015625,0.015119071,0.019114006,0.014742291406079707,0.015441945256159328
2017-05-01,0.01477634033203125,0.016877552,0.017797617,0.01693911157522688,0.01744814705593245
2017-05-02,0.015328121154785157,0.01808667,0.019570544,0.017380196917709933,0.018252415038023963
2017-05-03,0.01604227667236328,0.016792314,0.019960357,0.015222823405207466,0.016523238876527
2017-05-04,0.02830111260986328,0.017384192,0.019647444,0.015240753703682454,0.016965586266677504
2017-05-05,0.029077726440429687,0.021543967,0.022346947,0.020074762172521035,0.02144714618911021
2017-05-08,0.012566596923828124,0.02158222,0.022606822,0.019385521499145082,0.02107182113080072
2017-05-09,0.015000504943847656,0.020534843,0.020830471,0.018538494199189806,0.020030740909537693
2017-05-10,0.024273061340332032,0.021688662,0.01924052,0.02020816359317439,0.021147779773553848
2017-05-11,0.02518062371826172,0.019478943,0.018087624,0.01735724613566209,0.018824338936400325
2017-05-12,0.02652298797607422,0.017971704,0.0169775,0.015392085422810791,0.017385592879547402
2017-05-15,0.022760766235351563,0.02283406,0.02113027,0.020675785777400348,0.022336309124867178
2017-05-16,0.018251980407714842,0.022131478,0.021023715,0.01998152462045137,0.021558850075511827
2017-05-17,0.022843712463378907,0.0035509532,0.002879629,0.0007107570315458395,0.0029981323110193814
2017-05-18,0.029291498229980468,0.007250863,0.005609359,0.004337697807052777,0.006737978427745425
2017-05-19,0.043303326171875,0.014067433,0.012511344,0.011197112791618431,0.013538511031875903
2017-05-22,0.0245348486328125,0.019300153,0.016890908,0.016675894793615077,0.01886008418004881
2017-05-23,0.038480892822265626,0.021173498,0.01898749,0.01848183445600909,0.020660750828842944
2017-05-24,0.05542869177246094,0.023715328,0.022613665,0.02100713769321687,0.023390793812498284
2017-05-25,0.04695969360351562,0.028262619,0.026046121,0.025004159829246222,0.02789916266766756
2017-05-26,0.011267997680664062,0.028581945,0.025916185,0.025168401363276523,0.028211933549592002
2017-05-29,0.0069151767578125,0.028581945,0.025916185,0.025168401363276523,0.028211933549592002
2017-05-30,0.0521599150390625,0.02734289,0.023443477,0.023107134250599643,0.027018936042822916
2017-05-31,0.05466512915039062,0.026870344,0.022430213,0.022814511779488848,0.02667488807270595
2017-06-01,0.04370740710449219,0.034644894,0.029026031,0.03210455802531466,0.03483820809093601
