Dates,portfolio_returns,baseline_returns,djia_returns,OEX Index_returns,SPR Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.011050363042031913,0.010944974321349842
2017-04-25,0.007056574584960938,0.01699678,0.021820353,0.017674795336862656,0.01717975055025678
2017-04-26,0.00896690805053711,0.016502822,0.020796917,0.01671054027211293,0.01697652237710924
2017-04-27,0.0033759305114746093,0.017064866,0.021100612,0.017549442178445087,0.01747853998532634
2017-04-28,0.0072883149108886715,0.015119071,0.019114006,0.01715409760189762,0.014636096845194431
2017-05-01,0.013887752410888672,0.016877552,0.017797617,0.019516522510534498,0.01654402054291988
2017-05-02,0.015957684295654296,0.01808667,0.019570544,0.02044220737269427,0.017399669845927942
2017-05-03,0.016710155822753908,0.016792314,0.019960357,0.020480777575284225,0.01572707263389576
2017-05-04,0.02868872869873047,0.017384192,0.019647444,0.020586845632406817,0.016064930300807044
2017-05-05,0.029889109313964844,0.021543967,0.022346947,0.023325330016295966,0.020545854732208334
2017-05-08,0.04597744720458984,0.02158222,0.022606822,0.024704214758888135,0.0201986426999266
2017-05-09,0.048327470428466794,0.020534843,0.020830471,0.022708206774856042,0.019124908290535456
2017-05-10,0.041420670074462894,0.021688662,0.01924052,0.021242539076436473,0.020766507703594853
2017-05-11,0.04082047296142578,0.019478943,0.018087624,0.019449024656002078,0.018084005869405607
2017-05-12,0.04437204217529297,0.017971704,0.0169775,0.019034394978159633,0.016142516507703514
2017-05-15,0.039021860504150394,0.02283406,0.02113027,0.022997483294281137,0.021219002201027046
2017-05-16,0.03430118524169922,0.022131478,0.021023715,0.022872130135863568,0.020503484959647808
2017-05-17,0.010027089324951171,0.0035509532,0.002879629,0.0034809607837466396,0.0015260454878943388
2017-05-18,0.01660424285888672,0.007250863,0.005609359,0.007106559827205607,0.004976338958180375
2017-05-19,0.030203384704589845,0.014067433,0.012511344,0.01322957948836629,0.011947175348495959
2017-05-22,0.04669725848388672,0.019300153,0.016890908,0.01779050594463252,0.01723037417461483
2017-05-23,0.06119446478271484,0.021173498,0.01898749,0.02069291368952919,0.019123991195891313
2017-05-24,0.03489687567138672,0.023715328,0.022613665,0.0228432024839211,0.021610051357300028
2017-05-25,0.03488704641723633,0.028262619,0.026046121,0.026864146103927535,0.025836573734409365
2017-05-26,-0.00028898074340820315,0.028581945,0.025916185,0.02726913323112227,0.025945157740278623
2017-05-29,-0.01512581492614746,0.028581945,0.025916185,0.02726913323112227,0.025945157740278623
2017-05-30,0.026933862533569337,0.02734289,0.023443477,0.026218095210545148,0.02438279530447541
2017-05-31,0.023702992446899412,0.026870344,0.022430213,0.024916350873133104,0.023973037417461318
2017-06-01,0.038115402236938475,0.034644894,0.029026031,0.03150221296537367,0.03259354365370502
2017-06-02,0.025256685958862303,0.03848108,0.032048713,0.03595707136451731,0.03636371973587659
2017-06-05,0.0066204290618896485,0.03721656,0.030965872,0.0356099395412075,0.03469038884812905
2017-06-06,0.007374801254272461,0.034334093,0.028639166,0.03331501248710304,0.03179090242112987
2017-06-07,-0.007039548233032227,0.035956193,0.030462187,0.035098884356890174,0.033281364636830485
2017-06-08,-0.0118567335357666,0.036233008,0.030892396,0.03468425467904773,0.03455961115187089
2017-06-09,-0.05004294270324707,0.035372943,0.03524525,0.03358500390523316,0.03431107850330139
2017-06-12,-0.03731739436340332,0.03435956,0.033478595,0.03243754037818093,0.033399303008070404
2017-06-13,-0.049001399963378905,0.039026078,0.037994944,0.03622706278264742,0.03815553925165062
2017-06-14,-0.04907364184570313,0.037991382,0.040238,0.0356099395412075,0.03671955245781363
2017-06-15,-0.05484013751220703,0.0356667,0.039524533,0.03335358268969322,0.03412527512839324
2017-06-16,-0.025910615646362305,0.035960454,0.040710986,0.0335367911519955,0.03423532648569321
2017-06-19,-0.03751588508605957,0.044607855,0.047753647,0.04259114620999554,0.04260381511371962
2017-06-20,-0.03751588508605957,0.037612494,0.044743605,0.03627527553588487,0.03515242112986049
2017-06-21,-0.052930841705322265,0.037007935,0.041964162,0.036034211769697434,0.03399999999999995
2017-06-22,-0.030243808242797852,0.036535285,0.041344132,0.03549422893343764,0.033758253851797454
2017-06-23,-0.026838084091186522,0.03815323,0.041221038,0.036988824283799675,0.03581658107116653
2017-06-26,-0.058450661544799803,0.03848108,0.041940875,0.03682490092279215,0.036444057226705705
2017-06-27,-0.07090643211364746,0.030097604,0.037128154,0.02824303084651949,0.028076852531181223
2017-06-28,-0.06200746549987793,0.03917077,0.044133745,0.03728774335387204,0.03750458547322082
2017-06-29,-0.06727773991394043,0.03023388,0.03597811,0.02855159246723956,0.02880832721936893
2017-06-30,-0.04245898779296875,0.03181347,0.039024744,0.02954477518393175,0.030349779897285375
2017-07-03,-0.03828009942626953,0.03419782,0.045333885,0.03223504681458346,0.03325385179750549
2017-07-04,-0.040035262084960936,0.03419782,0.045333885,0.03223504681458346,0.03325385179750549
2017-07-05,-0.018648312637329103,0.035700794,0.04528037,0.03442390581156532,0.03411023477622891
2017-07-06,-0.019190354873657226,0.025997497,0.0375846,0.02476207006277307,0.024064380044020388
2017-07-07,-0.01788114097595215,0.032567088,0.042173944,0.030451174944796548,0.03101210564930292
2017-07-10,-0.01628241355895996,0.03352507,0.04189069,0.03138650235760359,0.03149174614820232
2017-07-11,-0.020206665573120116,0.032716148,0.04191749,0.030605455755156365,0.030934702861335237
2017-07-12,-0.03492867774963379,0.040260766,0.04790697,0.03750952201876449,0.038449926632428445
2017-07-13,-0.03787956694030762,0.042210825,0.048926506,0.03986230437675388,0.04037472487160671
2017-07-14,-0.05298825239562988,0.0470816,0.053046197,0.04441358828237262,0.045077402787967666
2017-07-17,-0.05106561790466309,0.047026195,0.05265591,0.04375789483834275,0.045236977256052746
2017-07-18,-0.0525039577331543,0.047652166,0.04997969,0.04520427743546734,0.045465700660308
2017-07-19,-0.07949460391235351,0.053280823,0.05319267,0.0502762590760509,0.05161573734409389
2017-07-20,-0.08790340072631836,0.053118978,0.05178275,0.05032447182928834,0.05140553925165075
2017-07-21,-0.09105782669067383,0.052731566,0.050239567,0.04885880413086877,0.05070909757886999
2017-07-24,-0.0947933037109375,0.05161174,0.04698372,0.04797168947129895,0.04983253851797495
2017-07-25,-0.0947933037109375,0.05468578,0.05186307,0.051105518431735567,0.05351137197358766
2017-07-26,-0.0903549880065918,0.054983903,0.05661201,0.052455475522385275,0.05292809977989729
2017-07-27,-0.06486948286437988,0.05395773,0.060775045,0.05320759447289004,0.05163884812912694
2017-07-28,-0.05640024995422363,0.05254425,0.062418036,0.05058482069677075,0.04994534115920757
2017-07-31,-0.05006785359191895,0.051777847,0.065377414,0.050015910208568486,0.04913793103448269
2017-08-01,-0.048932232528686524,0.05435377,0.06892042,0.05336187528325007,0.0517026779163608
2017-08-02,-0.034717564178466796,0.0548732,0.07146669,0.055782155495771875,0.05122615553925162
2017-08-03,-0.03462510467529297,0.05256972,0.071946524,0.05383436026497745,0.04882721936903882
2017-08-04,-0.033791350677490235,0.05455813,0.07519315,0.05626428302814674,0.05091195891415975
2017-08-07,-0.06130950424194336,0.0562952,0.076439485,0.057990299594048715,0.05253521643433602
2017-08-08,-0.05629506979370117,0.053744845,0.07482957,0.05607143201519675,0.049920212765957435
2017-08-09,-0.04644875912475586,0.053361695,0.07304638,0.055994291610016844,0.04879273661041803
