Dates,portfolio_returns,baseline_returns,djia_returns,SAX Index_returns,OMXS30B Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.018935498741179505,0.022895280470363884
2017-04-25,0.0,0.01699678,0.021820353,0.02622247438034106,0.027840457651358622
2017-04-26,0.008894114990234375,0.016502822,0.020796917,0.02980390766284894,0.029893532496424582
2017-04-27,0.009901750549316406,0.017064866,0.021100612,0.028119570228006124,0.027541713014460466
2017-04-28,0.015350138916015625,0.015119071,0.019114006,0.03311939292932886,0.034158588908310826
2017-05-01,0.023127749145507814,0.016877552,0.017797617,0.03311939292932886,0.034158588908310826
2017-05-02,0.02005581475830078,0.01808667,0.019570544,0.039945392007375576,0.04020975687271571
2017-05-03,0.022201748809814452,0.016792314,0.019960357,0.03790645721782915,0.03860797711743207
2017-05-04,0.021349758392333985,0.017384192,0.019647444,0.04145243076486649,0.041366597807087194
2017-05-05,0.02025861636352539,0.021543967,0.022346947,0.04379277330591122,0.043724773557921474
2017-05-08,0.023680408142089843,0.02158222,0.022606822,0.042108435871068405,0.04210392499602734
2017-05-09,0.016029824493408205,0.020534843,0.020830471,0.05102655934186726,0.050761163197203175
2017-05-10,0.028528635192871094,0.021688662,0.01924052,0.048774866139498586,0.04856189416812337
2017-05-11,0.020660657897949217,0.019478943,0.018087624,0.04584943796319282,0.043712061020181145
2017-05-12,0.01624104913330078,0.017971704,0.0169775,0.0467713910854225,0.04652788812966791
2017-05-15,0.044102067932128904,0.02283406,0.02113027,0.0481011311655615,0.04868266327665655
2017-05-16,0.04241733544921875,0.022131478,0.021023715,0.049980497145491395,0.05072938185285234
2017-05-17,0.03939443392944336,0.0035509532,0.002879629,0.0349101095705827,0.03503575401239466
2017-05-18,0.034999243927001954,0.007250863,0.005609359,0.024112620119853947,0.02670904179246781
2017-05-19,0.035502070831298825,0.014067433,0.012511344,0.03281798517783056,0.035569680597489294
2017-05-22,0.04118535623168945,0.019300153,0.016890908,0.033261231871210224,0.035569680597489294
2017-05-23,0.0369464172668457,0.021173498,0.01898749,0.040175880287932994,0.043515016685205805
2017-05-24,0.020567414428710937,0.023715328,0.022613665,0.04056593737810715,0.041722548863817
2017-05-25,0.025561218627929688,0.028262619,0.026046121,0.04056593737810715,0.041722548863817
2017-05-26,0.049414206115722656,0.028581945,0.025916185,0.040335449097549735,0.03973939297632289
2017-05-29,0.026870901519775392,0.028581945,0.025916185,0.037374561185773626,0.03729222946130626
2017-05-30,0.08363064172363281,0.02734289,0.023443477,0.04299492925782774,0.04226283171778167
2017-05-31,0.0850798500366211,0.026870344,0.022430213,0.04333179674479638,0.04186238677896069
2017-06-01,0.0883662721862793,0.034644894,0.029026031,0.04632814439204283,0.04326712219926899
