Dates,portfolio_returns,baseline_returns,djia_returns,DAX Index_returns,OMX Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.033730973883207706,0.0228972601215959
2017-04-25,0.0,0.01699678,0.021820353,0.03473192254350526,0.027842453019078475
2017-04-26,0.003741047607421875,0.016502822,0.020796917,0.03520998757528898,0.029896805646927264
2017-04-27,0.001834847900390625,0.017064866,0.021100612,0.03280223296208606,0.027544978690540914
2017-04-28,-0.00217627392578125,0.015119071,0.019114006,0.032322507982275116,0.03416441812940771
2017-05-01,0.007822907592773437,0.016877552,0.017797617,0.032322507982275116,0.03416441812940771
2017-05-02,0.00822605126953125,0.01808667,0.019570544,0.03812319636272188,0.040211791551856294
2017-05-03,0.0056171943359375,0.016792314,0.019960357,0.03977816454566811,0.03860937107697796
2017-05-04,0.012184264404296876,0.017384192,0.019647444,0.049732872863750714,0.04137054304955682
2017-05-05,0.013997059448242187,0.021543967,0.022346947,0.05546882327114336,0.04372745503720025
2017-05-08,-0.0003392752685546875,0.02158222,0.022606822,0.053614661324953884,0.04210977946855069
2017-05-09,-0.0010199561767578124,0.020534843,0.020830471,0.05814382951669792,0.05076323141023811
2017-05-10,0.014012697143554688,0.021688662,0.01924052,0.05883602784396816,0.048563319762656196
2017-05-11,0.00924171533203125,0.019478943,0.018087624,0.05498494842126491,0.04371410683015051
2017-05-12,0.0010539794921875,0.017971704,0.0169775,0.05991084419146838,0.046533121033278405
2017-05-15,0.0201224619140625,0.02283406,0.02113027,0.06295103900296892,0.04868853865736116
2017-05-16,0.0313759765625,0.022131478,0.021023715,0.06274271552557698,0.050730178707067336
2017-05-17,0.00435848291015625,0.0035509532,0.002879629,0.04839080488389916,0.035036500989992087
2017-05-18,-0.0018569776611328124,0.007250863,0.005609359,0.04494226285774991,0.026711669193291647
2017-05-19,0.012894683471679687,0.014067433,0.012511344,0.04897842648546681,0.035570429271982444
2017-05-22,0.009185569458007813,0.019300153,0.016890908,0.04738238645747997,0.03557424304542529
2017-05-23,0.014508424438476563,0.021173498,0.01898749,0.05067655331711564,0.04351515498221831
2017-05-24,-0.015094943725585938,0.023715328,0.022613665,0.04932535562311553,0.04172585960864342
2017-05-25,-0.03179261724853515,0.028262619,0.026046121,0.04756996058453407,0.04172585960864342
2017-05-26,-0.05065421240234375,0.028581945,0.025916185,0.0459481913621285,0.0397446043051146
2017-05-29,-0.08056682238769532,0.028581945,0.025916185,0.048170031796304545,0.03729234798140155
2017-05-30,-0.034451497192382816,0.02734289,0.023443477,0.045657700457398726,0.04226360166407662
2017-05-31,-0.03855853552246094,0.026870344,0.022430213,0.047017197891533996,0.04186506233930509
2017-06-01,-0.018571348571777342,0.034644894,0.029026031,0.05115544832291304,0.04327170911078694
2017-06-02,-0.012408150329589843,0.03848108,0.032048713,0.06427069768445556,0.04666787436159026
2017-06-05,-0.04285837469482422,0.03721656,0.030965872,0.06427069768445556,0.041094680103861796
2017-06-06,-0.04152563348388672,0.034334093,0.028639166,0.053246982836967466,0.041094680103861796
2017-06-07,-0.030130308288574218,0.035956193,0.030462187,0.05178373865114284,0.042775918563224435
2017-06-08,-0.057671116821289066,0.036233008,0.030892396,0.05519410187267038,0.04482709304653765
2017-06-09,-0.07595792932128906,0.035372943,0.03524525,0.06367145644669862,0.051838079892197395
2017-06-12,-0.07987083349609375,0.03435956,0.033478595,0.05327354200539988,0.041667381749187264
2017-06-13,-0.08193468493652344,0.039026078,0.037994944,0.059460168302130446,0.04790353695705376
2017-06-14,-0.10141329675292969,0.037991382,0.040238,0.06286057183549591,0.04217397798817103
2017-06-15,-0.0862074891357422,0.0356667,0.039524533,0.05338724844525116,0.03287917647918798
2017-06-16,-0.06121668835449219,0.035960454,0.040710986,0.058443450135576246,0.039847576188069916
2017-06-19,-0.060110153076171874,0.044607855,0.047753647,0.0697493561476591,0.05094565690658486
2017-06-20,-0.05756346752929688,0.037612494,0.044743605,0.06359426886344198,0.04730541015544305
