Dates,portfolio_returns,baseline_returns,djia_returns,IPSA Index_returns,S5TELS Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.008250389336038976,-0.00036870890432005334
2017-04-25,0.005117006408691407,0.01699678,0.021820353,0.012182215503995272,-0.003379831622933589
2017-04-26,0.008874959320068359,0.016502822,0.020796917,0.008861683303981497,0.00884901370368093
2017-04-27,0.01418644467163086,0.017064866,0.021100612,-0.0054870910931974475,-0.0042401523996804386
2017-04-28,0.02060057371520996,0.015119071,0.019114006,-0.002981617517106905,-0.014748356172801434
2017-05-01,0.016509639053344728,0.016877552,0.017797617,-0.002981617517106905,-0.02249124316352238
2017-05-02,0.019879007965087892,0.01808667,0.019570544,0.01427392207457363,-0.022982855035949
2017-05-03,0.022521443588256834,0.016792314,0.019960357,0.00944178880417174,-0.029250906409389734
2017-05-04,0.026783847549438477,0.017384192,0.019647444,0.009134062589016957,-0.04025072205493752
2017-05-05,0.02553628089904785,0.021543967,0.022346947,0.0071317629593281966,-0.02630123517482948
2017-05-08,0.02711099224090576,0.02158222,0.022606822,0.0028818144202998816,-0.024150433232962443
2017-05-09,0.022384179542541505,0.020534843,0.020830471,-0.0003638654571085795,-0.030049775702083125
2017-05-10,0.02161770768737793,0.021688662,0.01924052,0.0033309283559310125,-0.02722300743562944
2017-05-11,0.02550203190612793,0.019478943,0.018087624,0.0023183427695774453,-0.03189332022368339
2017-05-12,0.025320188636779786,0.017971704,0.0169775,0.008830494836229219,-0.032507835064216756
2017-05-15,0.023985014320373536,0.02283406,0.02113027,0.016943654914158893,-0.03484299145824364
2017-05-16,0.024719676582336425,0.022131478,0.021023715,0.01370837119266767,-0.04068088244331086
2017-05-17,0.034133822090148924,0.0035509532,0.002879629,0.009152775669668285,-0.05794874946229939
2017-05-18,0.03048968529510498,0.007250863,0.005609359,-0.007152555271163048,-0.04658022491243154
2017-05-19,0.031761596801757816,0.014067433,0.012511344,-0.0032768683451607386,-0.03883733792171077
2017-05-22,0.0363195626373291,0.019300153,0.016890908,-0.00136605488754491,-0.03803846862901738
2017-05-23,0.03423449800109863,0.021173498,0.01898749,0.005096195630703447,-0.036747987463897194
2017-05-24,0.019015031379699707,0.023715328,0.022613665,0.012864203332175871,-0.04320039328949795
2017-05-25,0.022853583305358888,0.028262619,0.026046121,0.013076284912890488,-0.03982056166656419
