Dates,portfolio_returns,baseline_returns,djia_returns,SXXP Index_returns,MXEU Index_returns
2017-04-24,0.0,0.010840069,0.010518463,0.02107796466730131,0.021151586368977585
2017-04-25,-0.0001016217041015625,0.01699678,0.021820353,0.02324658838463985,0.02326674500587543
2017-04-26,-0.00646878352355957,0.016502822,0.020796917,0.028059875171903136,0.027888758323540947
2017-04-27,-0.0051750907287597655,0.017064866,0.021100612,0.025573891886173743,0.024990207598903233
2017-04-28,0.00351125830078125,0.015119071,0.019114006,0.0237226277372262,0.023031727379553446
2017-05-01,0.0005641842575073242,0.016877552,0.017797617,0.022532529355760028,0.021778300039169612
2017-05-02,-0.0006886446685791016,0.01808667,0.019570544,0.030175605627842928,0.029063846455150866
2017-05-03,0.0016003595886230468,0.016792314,0.019960357,0.02975245953665503,0.029063846455150866
2017-05-04,-0.002985449401855469,0.017384192,0.019647444,0.03665503014915903,0.03603603603603599
2017-05-05,-0.009276747161865235,0.021543967,0.022346947,0.04342536760816676,0.043086564825695256
2017-05-08,0.006251258071899414,0.02158222,0.022606822,0.042103036073204314,0.04183313748531142
2017-05-09,0.010078416313171386,0.020534843,0.020830471,0.04678408970697132,0.04653349001175086
2017-05-10,0.023878425773620607,0.021688662,0.01924052,0.04847667407172322,0.04841363102232672
2017-05-11,0.02390449179840088,0.019478943,0.018087624,0.04302866814767794,0.04316490403446918
2017-05-12,0.012474325782775878,0.017971704,0.0169775,0.046308050354384823,0.04645515080297694
2017-05-15,0.009777916473388671,0.02283406,0.02113027,0.04720723579815937,0.04739522130826465
2017-05-16,0.010136161743164063,0.022131478,0.021023715,0.04704855601396388,0.04747356051703879
2017-05-17,0.0004721219787597656,0.0035509532,0.002879629,0.034433513170422037,0.03533098315707004
2017-05-18,-0.0013792085571289062,0.007250863,0.005609359,0.029276420184068532,0.02953388170779461
2017-05-19,-0.014915537551879883,0.014067433,0.012511344,0.03541203850629426,0.03533098315707004
2017-05-22,-0.014974110885620118,0.019300153,0.016890908,0.034433513170422037,0.03431257344300819
2017-05-23,-0.013064224967956542,0.021173498,0.01898749,0.03676081667195593,0.036584410497453874
2017-05-24,-0.010472847908020019,0.023715328,0.022613665,0.03768644874642971,0.03744614179396789
2017-05-25,-0.01768762570953369,0.028262619,0.026046121,0.037078176240346934,0.03666274970622802
2017-05-26,-0.029867320274353026,0.028581945,0.025916185,0.03498889241510637,0.03439091265178211
2017-05-29,0.009323535133361817,0.028581945,0.025916185,0.03472442610811381,0.03439091265178211
2017-05-30,0.03430908539581299,0.02734289,0.023443477,0.032740928805670144,0.03219741480611034
2017-05-31,0.035936858016967776,0.026870344,0.022430213,0.03139215064000848,0.031100665883274568
